player_id,name_common,year_id,age,pos,team_id,tmRtg,franch_id,G,Min,MP%,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,AST%,TOV%,ORB%,DRB%,TRB%,STL%,BLK%,ORtg,%Pos,DRtg,2P%,3P%,FT%,3PAr,FTAr
arcidry01,Ryan Arcidiacono,2020,25,PG,CHI,-3.1,CHI,58,930,29.7,16.0,10.1,55.1,3.7,4.3,1.2,1.4,-0.9,+2.0,+1.1,1.8,5.8,6.2,12.5,14.3,13.5,2.3,11.2,6.5,1.4,0.3,111.1,13.0,113.0,43.9,39.1,71.1,62.7,17.3
gaffoda01,Daniel Gafford,2020,21,C,CHI,-3.1,CHI,43,609,19.4,14.2,13.1,68.6,1.2,6.3,4.1,1.7,-2.6,+0.7,-1.9,0.3,7.0,9.8,13.3,5.2,15.3,9.0,10.3,9.6,1.0,8.7,124.3,13.4,108.6,70.1,,53.3,0.0,44.8
kornelu01,Luke Kornet,2020,24,C,CHI,-3.1,CHI,36,559,17.8,15.5,13.9,53.9,2.1,5.4,2.4,0.9,-2.9,-3.0,-6.0,-0.9,7.5,8.7,16.3,8.5,6.6,4.1,12.9,8.3,0.9,4.4,111.7,15.7,111.0,64.6,28.7,71.4,57.8,15.0
hutchch01,Chandler Hutchison,2020,23,SF,CHI,-3.1,CHI,28,527,16.8,18.8,14.9,52.1,1.8,7.4,2.3,1.9,-3.0,+0.5,-2.5,0.1,8.4,8.1,19.1,7.4,11.4,3.6,19.8,11.3,2.5,1.3,100.9,18.5,108.0,49.6,31.6,59.0,21.7,44.6
valende01,Denzel Valentine,2020,26,SF,CHI,-3.1,CHI,36,488,15.6,13.6,18.2,51.1,3.2,5.5,2.4,1.9,+0.0,+1.7,+1.7,1.1,8.9,9.0,23.3,14.2,9.8,1.9,15.5,8.4,2.6,1.2,99.9,22.1,108.8,51.0,33.6,75.0,57.8,3.4
harrish01,Shaquille Harrison,2020,26,SF,CHI,-3.1,CHI,43,484,15.4,11.3,15.6,55.9,3.7,6.4,4.0,1.4,+1.4,+4.3,+5.7,2.1,10.8,12.9,18.1,15.3,9.2,4.8,15.3,9.8,3.4,3.7,116.1,18.3,105.4,49.6,38.1,78.0,25.5,30.3
feliccr01,Cristiano Felício,2020,27,PF,CHI,-3.1,CHI,22,386,12.3,17.5,8.0,67.1,1.5,9.5,1.1,1.7,-1.1,-5.6,-6.7,-0.8,7.4,10.0,9.1,5.7,21.9,15.0,14.1,14.6,1.2,0.5,130.2,10.9,112.5,65.4,0.0,78.3,3.7,42.6
porteot01,Otto Porter,2020,26,SF,CHI,-3.1,CHI,14,331,10.6,23.6,18.2,55.0,2.7,5.2,2.3,1.2,+1.6,+0.4,+2.0,0.8,9.6,11.3,21.0,11.9,6.8,4.1,12.3,8.0,2.2,1.7,112.4,20.1,110.1,48.7,38.7,70.4,44.3,19.3
mokokad01,Adam Mokoka,2020,21,SG,CHI,-3.1,CHI,11,112,3.6,10.2,10.3,53.8,1.3,3.2,1.3,0.6,+2.4,-0.0,+2.3,0.3,2.2,4.6,12.1,5.0,6.3,6.6,3.1,4.9,1.7,0.0,114.8,12.0,114.2,46.2,40.0,50.0,53.6,14.3
strusma01,Max Strus,2020,23,SG,CHI,-3.1,CHI,2,6,0.2,3.0,30.1,72.7,0.0,6.0,0.0,0.0,+19.0,+11.9,+31.0,0.1,15.0,20.2,24.4,0.0,0.0,17.5,0.0,9.2,0.0,0.0,153.5,21.5,118.8,100.0,0.0,100.0,33.3,33.3
grahade01,Devonte' Graham,2020,24,PG,CHO,-7.3,CHA,62,2174,70.1,35.1,19.2,53.3,8.0,3.6,1.3,3.0,+2.8,-1.3,+1.5,4.7,11.0,10.7,24.7,35.3,14.4,2.0,8.8,5.3,1.4,0.6,108.6,25.7,115.8,39.7,36.6,82.0,60.8,24.7
roziete01,Terry Rozier,2020,25,PG,CHO,-7.3,CHA,63,2164,69.8,34.3,19.7,55.3,4.5,4.8,1.2,2.4,-0.5,-1.5,-2.0,0.9,10.5,10.1,23.7,20.4,12.1,2.4,11.9,7.0,1.4,0.4,108.0,23.2,115.1,43.6,40.7,87.4,45.0,20.2
bridgmi02,Miles Bridges,2020,21,SF,CHO,-7.3,CHA,64,1961,63.2,30.6,15.8,52.2,2.1,6.8,1.7,1.8,-1.4,-1.9,-3.2,-0.5,8.5,8.0,19.9,9.4,10.6,4.6,15.5,9.9,1.0,2.2,103.0,19.1,113.8,49.0,33.1,80.8,40.2,17.0
washipj01,P.J. Washington,2020,21,PF,CHO,-7.3,CHA,57,1723,55.5,30.2,15.1,54.9,2.6,6.7,2.0,2.0,-2.4,-0.8,-3.2,-0.4,8.5,8.1,18.5,11.4,12.7,3.3,16.8,9.8,1.5,2.3,104.4,17.9,112.4,50.6,37.7,65.7,38.5,23.4
